date,symbol,name,open,high,low,close,change_percent,volume,amount,source
2026-05-21,399001,深证成指,15707.96,15894.3,15232.6,15247.27,-2.0726,878984174.0,1885877969400.0,tencent
2026-05-21,399006,创业板指,3962.3,4017.81,3827.52,3829.78,-2.3461,265528742.0,896007099000.0,tencent
2026-05-21,899050,北证50,1361.86,1380.35,1322.98,1323.84,-1.89,856728366.0,26051000000.0,csindex
2026-05-22,000001,上证指数,4096.17,4120.09,4067.75,4112.9,0.87,58945964400.0,1285848000000.0,csindex
2026-05-22,000300,沪深300,4818.84,4851.35,4785.35,4845.1,1.3,28694043500.0,771823000000.0,csindex
2026-05-22,000688,科创50,1790.74,1797.65,1747.14,1790.77,1.51,1760391900.0,162025000000.0,csindex
2026-05-22,000852,中证1000,8578.9,8719.39,8521.7,8692.67,2.14,28681240700.0,613491000000.0,csindex
2026-05-22,399001,深证成指,15382.29,15624.97,15295.57,15597.3,2.2957,763067278.0,1617472538500.0,tencent
2026-05-22,399006,创业板指,3875.81,3948.99,3856.21,3938.5,2.8388,214290151.0,787396763199.9999,tencent
2026-05-22,899050,北证50,1324.53,1331.88,1310.52,1327.26,0.26,705711214.0,21611000000.0,csindex
2026-05-25,000001,上证指数,4126.34,4153.88,4119.8,4152.57,0.96,61593086100.0,1445655000000.0,csindex
2026-05-25,000300,沪深300,4873.2,4922.44,4857.13,4921.6,1.58,26474323600.0,861179000000.0001,csindex
2026-05-25,000688,科创50,1791.67,1899.97,1774.19,1896.04,5.88,2149793700.0,221954000000.0,csindex
2026-05-25,000852,中证1000,8756.46,8802.95,8670.72,8799.31,1.23,30289600600.0,668584000000.0,csindex
2026-05-25,399001,深证成指,15716.39,15857.08,15547.16,15856.61,1.6625,781225873.0,1760074861200.0,tencent
2026-05-25,399006,创业板指,3974.97,4022.74,3905.69,4021.16,2.0988,231457815.0,878510327200.0,tencent
2026-05-25,899050,北证50,1331.91,1334.28,1309.14,1316.74,-0.79,752753359.0,21504000000.0,csindex
2026-05-26,000001,上证指数,4137.32,4150.29,4104.46,4145.37,-0.17,65477775600.0,1461685000000.0,csindex
2026-05-26,000300,沪深300,4900.12,4952.74,4892.68,4947.85,0.53,30279947600.0,899094000000.0,csindex
2026-05-26,000688,科创50,1877.39,1880.65,1824.32,1867.71,-1.49,1940888500.0,193153000000.0,csindex
2026-05-26,000852,中证1000,8755.91,8756.46,8560.8,8687.25,-1.27,31437355100.0,681154000000.0,csindex
2026-05-26,399001,深证成指,15786.82,15894.55,15662.16,15876.16,0.1233,823273532.0,1782006716900.0,tencent
2026-05-26,399006,创业板指,4003.13,4057.37,3985.51,4043.07,0.5449,228092127.0,837209303900.0,tencent
2026-05-26,899050,北证50,1315.6,1315.72,1267.94,1284.27,-2.47,785104118.0,20949000000.0,csindex
2026-05-27,000001,上证指数,4138.81,4153.56,4077.62,4093.73,-1.25,66046739900.0,1473449000000.0,csindex
2026-05-27,000300,沪深300,4940.95,4974.21,4891.34,4908.17,-0.8,30170917500.0,909012000000.0001,csindex
2026-05-27,000688,科创50,1875.42,1901.97,1809.7,1815.45,-2.8,2160969900.0,192836000000.0,csindex
2026-05-27,000852,中证1000,8679.54,8737.05,8495.72,8546.51,-1.62,31311235400.0,668283000000.0,csindex
2026-05-27,399001,深证成指,15868.9,16047.41,15656.65,15736.47,-0.8799,815871163.0,1765113240600.0,tencent
2026-05-27,399006,创业板指,4053.68,4148.23,4015.65,4045.77,0.0668,224129186.0,834578267000.0,tencent
2026-05-27,899050,北证50,1286.65,1298.12,1249.23,1253.75,-2.38,826748413.0,21688000000.0,csindex
2026-05-28,000001,上证指数,4080.3,4110.78,4055.83,4098.64,0.12,62117995000.0,1361326000000.0,csindex
2026-05-28,000300,沪深300,4889.27,4922.33,4843.23,4914.21,0.12,26743273100.0,819898000000.0,csindex
2026-05-28,000688,科创50,1805.11,1854.52,1796.04,1844.25,1.59,2154008000.0,177051000000.0,csindex
2026-05-28,000852,中证1000,8527.91,8659.61,8459.95,8637.74,1.07,30074765000.0,636606000000.0,csindex
2026-05-28,399001,深证成指,15691.16,15889.83,15504.79,15861.89,0.797,747849432.0,1606824859600.0,tencent
2026-05-28,399006,创业板指,4042.08,4135.38,3971.72,4125.07,1.9601,207796485.0,768291117900.0001,tencent
2026-05-28,899050,北证50,1256.63,1287.0,1244.2,1285.7,2.55,760468229.0,19447000000.0,csindex
2026-05-29,000001,上证指数,4110.52,4112.96,4055.89,4068.57,-0.73,73159771000.0,1532067000000.0,csindex
2026-05-29,000300,沪深300,4937.51,4954.07,4878.79,4892.12,-0.45,33251861000.0,942236000000.0,csindex
2026-05-29,000688,科创50,1850.27,1855.26,1727.62,1751.32,-5.04,2343137400.0,182140000000.0,csindex
2026-05-29,000852,中证1000,8673.8,8680.27,8357.8,8408.74,-2.65,33278021700.0,705660000000.0,csindex
2026-05-29,399001,深证成指,15957.12,15981.93,15492.84,15575.13,-1.8079,848879728.0,1786964795200.0,tencent
2026-05-29,399006,创业板指,4141.91,4158.69,4010.12,4037.95,-2.112,233413759.0,850350414200.0,tencent
2026-05-29,899050,北证50,1285.63,1296.1,1244.1,1244.1,-3.23,822131526.0,22220000000.0,csindex
2026-06-01,000001,上证指数,4067.16,4093.04,4045.69,4057.74,-0.27,67602580600.0,1319802000000.0,csindex
2026-06-01,000300,沪深300,4897.9,4918.79,4836.69,4844.26,-0.98,29613405100.0,823985000000.0,csindex
2026-06-01,000688,科创50,1751.23,1753.02,1662.82,1663.69,-5.0,1694183400.0,149901000000.0,csindex
2026-06-01,000852,中证1000,8393.52,8504.98,8339.35,8345.13,-0.76,30570642300.0,607633000000.0,csindex
2026-06-01,399001,深证成指,15601.03,15717.45,15316.02,15340.36,-1.5073,760393033.0,1557686047500.0,tencent
2026-06-01,399006,创业板指,4057.39,4081.42,3942.68,3950.94,-2.1548,210798809.0,728530856700.0,tencent
2026-06-01,899050,北证50,1244.97,1281.5,1244.97,1249.73,0.45,760889284.0,19486000000.0,csindex
